what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1523797577959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1523797714390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523797924963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523798206954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1523798288841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1523798292166
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1523798295289
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1523798297191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523798371422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523928696162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1523928697369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524074976858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524074978285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524074980758
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1524074982988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524074990276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524074993117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1524074993128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075000298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075018809
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524075019766
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524075020057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1524075047285
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1524075049645
error,log,,,"Internal Error",1524075051841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075053355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075137061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1524075140783
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1524075142553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1524075143810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075151195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075162220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1524075163500
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1524075164880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1524075166129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075174156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075202724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1524075206585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524075211797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524194963882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1524194967072
